id,type,insight_id,enable,name,display_name,created_at,updated_at
35419020,CustomEvent,3840,1, trackDidProfileRegistration, プロフィール登録,2017-09-10T09:12:46.432784,2018-01-16T02:32:31.417891
35417988,InternalEvent,3840,1,___repro___complete_registration,___repro___complete_registration,2017-09-05T10:10:24.353408,2018-10-29T05:36:21.444148
35417105,InternalEvent,3840,1,___repro___first_launch,___repro___first_launch,2017-08-31T09:32:18.849604,2018-10-29T05:36:21.463166
35417973,InternalEvent,3840,1,___repro___search,___repro___search,2017-09-05T09:34:20.720117,2018-10-29T05:36:21.475520
35418011,InternalEvent,3840,1,___repro___share,___repro___share,2017-09-05T10:56:43.607373,2018-10-29T05:36:21.487531
35417982,InternalEvent,3840,1,___repro___view_content,___repro___view_content,2017-09-05T09:55:07.388019,2018-10-29T05:36:21.499651
35434599,CustomEvent,3840,1,in_app_message,in_app_message,2017-12-15T03:04:18.888472,2018-01-16T02:32:31.417891
35461317,CustomEvent,3840,1,in_app_message_map_guide_0418,in_app_message_map_guide_0418,2018-04-18T06:12:10.599421,2018-04-18T06:12:10.599421
35461316,CustomEvent,3840,1,in_app_message_map_recommend_0418,in_app_message_map_recommend_0418,2018-04-18T06:07:06.967287,2018-04-18T06:07:06.967287
37151491,CustomEvent,3840,1,trackChangeAcceptPushOff,プッシュ通知をNGにしたタイミング,2018-11-16T11:41:15.883124,2018-11-22T06:33:22.740279
37150794,CustomEvent,3840,1,trackChangeAcceptPushOn,プッシュ通知を許可にしたタイミング,2018-11-16T00:53:15.360423,2018-11-22T06:33:22.755380
35420441,CustomEvent,3840,1,trackDidEntryInputEntry,【完了】Web応募,2017-09-15T06:17:48.889786,2018-01-16T02:32:31.417891
35418003,CustomEvent,3840,1,trackDidHopedConditionEdit,【完了】希望条件保存,2017-09-05T10:39:59.676701,2018-01-16T02:32:31.417891
35418000,CustomEvent,3840,1,trackDidLogin,【完了】ログイン,2017-09-05T10:28:42.318571,2018-01-16T02:32:31.417891
35418010,CustomEvent,3840,1,trackDidProfileEdit,【完了】プロフィール保存,2017-09-05T10:46:15.854615,2018-01-16T02:32:31.417891
35417995,CustomEvent,3840,1,trackDidProfileRegistration,プロフィール登録,2017-09-05T10:19:09.519249,2018-01-16T02:32:31.417891
35418091,CustomEvent,3840,1,trackDidUserRewards,【完了】お祝い金申請,2017-09-06T00:35:18.006471,2018-01-16T02:32:31.417891
35523822,CustomEvent,3840,1,trackScreenShotJobDetail,【スクリーンショット】求人詳細,2018-07-02T11:16:24.271000,2018-10-29T05:36:21.519037
35498241,CustomEvent,3840,1,trackScrollSearchJobToFiveJobs,【スクロール】（チュートリアル後）求人一覧で求人5件分のスクロール,2018-06-11T02:42:12.443970,2018-10-29T06:14:24.397387
